video,variant,variant_label,samples,overall_mae,valence_mae,arousal_mae,overall_mse,valence_r,arousal_r,valence_ccc,arousal_ccc
11,physiology,Physiological branch,244,60.12909836065574,66.52049180327869,53.73770491803279,5478.116803278688,0.73596338014562,-0.5437421379800444,0.06624916044167213,-0.051894150251920984
11,fixed_fusion,Fixed fusion,244,35.682377049180324,39.00409836065574,32.36065573770492,1767.7602459016393,0.4020353993007701,0.46274207162930325,0.33286326889665246,0.3159980963333933
12,global_constant,Global constant,252,24.853174603174605,27.317460317460316,22.38888888888889,1332.015873015873,nan,nan,0.0,0.0
12,video_identity,Video identity,252,24.313492063492063,26.238095238095237,22.38888888888889,1394.3333333333333,nan,nan,0.0,0.0
12,video_time,Video--time prior,252,24.313492063492063,26.238095238095237,22.38888888888889,1333.9801587301588,nan,0.20348320911595116,0.0,0.04338572653413512
12,physiology,Physiological branch,252,26.5,28.32936507936508,24.67063492063492,1345.2777777777778,-0.06651834670189177,0.05550920116970094,-0.012629554756048907,0.009260836986546605
12,fixed_fusion,Fixed fusion,252,24.3234126984127,26.238095238095237,22.408730158730158,1340.1170634920634,nan,0.19681738168689225,0.0,0.038275921240593105
13,global_constant,Global constant,444,39.05968468468468,45.3536036036036,32.765765765765764,2122.384009009009,nan,nan,0.0,0.0
13,video_identity,Video identity,444,27.881756756756758,35.457207207207205,20.306306306306308,1285.6813063063064,nan,nan,0.0,0.0
13,video_time,Video--time prior,444,17.120495495495497,17.97072072072072,16.27027027027027,476.06644144144144,0.8240251839254369,0.545044661548814,0.7596618827001379,0.5112082493990959
13,physiology,Physiological branch,444,42.247747747747745,48.799549549549546,35.695945945945944,2575.310810810811,-0.3590921430900847,-0.4367295821559488,-0.04604151430663065,-0.0660303887285771
13,fixed_fusion,Fixed fusion,444,17.28490990990991,17.646396396396398,16.923423423423422,476.4740990990991,0.8235640747717652,0.5354381389517328,0.7647385362018654,0.4747207866065521
14,global_constant,Global constant,412,46.53033980582524,43.359223300970875,49.70145631067961,2812.9429611650485,nan,nan,0.0,0.0
14,video_identity,Video identity,412,38.97208737864078,27.868932038834952,50.0752427184466,2329.234223300971,nan,nan,0.0,0.0
14,video_time,Video--time prior,412,37.637135922330096,24.325242718446603,50.949029126213595,2404.375,0.35503232649800004,-0.07650658843957503,0.3445337717262053,-0.04302416505716194
14,physiology,Physiological branch,412,41.15655339805825,37.970873786407765,44.342233009708735,2183.4211165048546,0.5241225132749378,0.7027603169187473,0.14815606364230266,0.24683783846897592
14,fixed_fusion,Fixed fusion,412,37.13956310679612,24.067961165048544,50.21116504854369,2286.9332524271845,0.35665598711200064,-0.0420207551900386,0.3474003595852084,-0.022372966789387716
15,global_constant,Global constant,680,43.50514705882353,46.90882352941176,40.101470588235294,2462.024264705882,nan,nan,0.0,0.0
15,video_identity,Video identity,680,24.02720588235294,29.04705882352941,19.00735294117647,1184.958088235294,nan,nan,0.0,0.0
15,video_time,Video--time prior,680,21.10808823529412,25.523529411764706,16.69264705882353,956.4242647058824,0.2616793953908427,0.4973254455600529,0.20225298308450831,0.46404765516558055
15,physiology,Physiological branch,680,36.55441176470588,38.65735294117647,34.451470588235296,1766.8073529411765,0.5594689592421807,0.24947055297881301,0.10634147417403671,0.035283110543087366
15,fixed_fusion,Fixed fusion,680,20.373529411764707,25.13529411764706,15.611764705882353,917.5455882352941,0.26395235622837254,0.5009654281815075,0.20517089100260977,0.47253841702570043
